,l3_code,l3_name,l2_code,l2_name,l1_code,l1_name
116,370101,化学原料药,370100,化学制药,370000,医药生物
117,370102,化学制剂,370100,化学制药,370000,医药生物
118,370103,化学药,370100,化学制药,370000,医药生物
119,370201,中药,370200,中药,370000,医药生物
120,370301,生物制品,370300,生物制品,370000,医药生物
121,370401,医药商业,370400,医药商业,370000,医药生物
122,370501,医疗器械,370500,医疗器械,370000,医药生物
123,370601,医疗服务,370600,医疗服务,370000,医药生物
124,410101,火电,410100,电力,410000,公用事业
125,410102,水电,410100,电力,410000,公用事业
126,410103,燃机发电,410100,电力,410000,公用事业
127,410104,热电,410100,电力,410000,公用事业
128,410201,水务,410200,水务,410000,公用事业
129,410301,燃气,410300,燃气,410000,公用事业
130,410401,环保,410400,环保,410000,公用事业
131,420101,港口,420100,港口,420000,交通运输
132,420201,路桥,420200,路桥,420000,交通运输
133,420301,公路运输,420300,公路运输,420000,交通运输
134,420401,航空运输,420400,航空运输,420000,交通运输
135,420501,机场,420500,机场,420000,交通运输
136,420601,水路运输,420600,水路运输,420000,交通运输
137,420701,铁路运输,420700,铁路运输,420000,交通运输
138,420801,物流,420800,物流,420000,交通运输
139,430101,房地产开发,430100,房地产开发,430000,房地产
140,430201,园区开发,430200,园区开发,430000,房地产
141,440101,银行,440100,银行,440000,金融服务
142,440201,信托,440200,信托,440000,金融服务
143,440301,证券,440300,证券,440000,金融服务
144,440401,保险,440400,保险,440000,金融服务
145,450101,百货零售,450100,零售,450000,商业贸易
146,450102,专业连锁,450100,零售,450000,商业贸易
147,450103,商业物业经营,450100,零售,450000,商业贸易
148,450201,贸易,450200,贸易,450000,商业贸易
149,460101,人工景点,460100,景点,460000,餐饮旅游
150,460102,自然景点,460100,景点,460000,餐饮旅游
151,460201,酒店,460200,酒店,460000,餐饮旅游
152,460301,旅游综合,460300,旅游综合,460000,餐饮旅游
153,460401,餐饮,460400,餐饮,460000,餐饮旅游
154,470101,通信运营,470100,通信运营,470000,信息服务
155,470201,互联网信息服务,470200,网络服务,470000,信息服务
156,470202,宽带网络服务,470200,网络服务,470000,信息服务
157,470203,其它信息服务,470200,网络服务,470000,信息服务
158,470204,有线电视网络,470200,网络服务,470000,信息服务
159,470301,计算机应用,470300,计算机应用,470000,信息服务
160,470401,出版,470400,传媒,470000,信息服务
161,470402,广播电影电视,470400,传媒,470000,信息服务
162,510101,综合,510100,综合,510000,综合
