,l3_code,l3_name,l2_code,l2_name,l1_code,l1_name
0,110101,种子生产,110100,种植业,110000,农林牧渔
1,110102,粮食种植,110100,种植业,110000,农林牧渔
2,110103,其他种植业,110100,种植业,110000,农林牧渔
3,110201,海洋捕捞,110200,渔业,110000,农林牧渔
4,110202,水产养殖,110200,渔业,110000,农林牧渔
5,110301,林业,110300,林业,110000,农林牧渔
6,110401,饲料,110400,饲料,110000,农林牧渔
7,110501,果蔬加工,110500,农产品加工,110000,农林牧渔
8,110502,粮油加工,110500,农产品加工,110000,农林牧渔
9,110504,其他农产品加工,110500,农产品加工,110000,农林牧渔
10,110601,农业综合,110600,农业综合,110000,农林牧渔
11,110701,畜禽养殖,110700,畜禽养殖,110000,农林牧渔
12,110801,动物保健,110800,动物保健,110000,农林牧渔
13,220101,石油加工,220100,石油化工,220000,化工
14,220103,石油贸易,220100,石油化工,220000,化工
15,220201,纯碱,220200,化学原料,220000,化工
16,220202,氯碱,220200,化学原料,220000,化工
17,220203,无机盐,220200,化学原料,220000,化工
18,220204,其他化学原料,220200,化学原料,220000,化工
19,220301,氮肥,220300,化学制品,220000,化工
20,220302,磷肥,220300,化学制品,220000,化工
21,220303,农药,220300,化学制品,220000,化工
22,220304,日用化学产品,220300,化学制品,220000,化工
23,220305,涂料油漆油墨制造,220300,化学制品,220000,化工
24,220306,钾肥,220300,化学制品,220000,化工
25,220307,民爆用品,220300,化学制品,220000,化工
26,220308,纺织化学用品,220300,化学制品,220000,化工
27,220309,其他化学制品,220300,化学制品,220000,化工
28,220310,复合肥,220300,化学制品,220000,化工
29,220311,氟化工及制冷剂,220300,化学制品,220000,化工
30,220312,磷化工及磷酸盐,220300,化学制品,220000,化工
31,220313,聚氨酯,220300,化学制品,220000,化工
32,220314,玻纤,220300,化学制品,220000,化工
33,220401,涤纶,220400,化学纤维,220000,化工
34,220402,维纶,220400,化学纤维,220000,化工
35,220403,粘胶,220400,化学纤维,220000,化工
36,220404,其他纤维,220400,化学纤维,220000,化工
37,220405,氨纶,220400,化学纤维,220000,化工
38,220501,其他塑料制品,220500,塑料,220000,化工
39,220502,合成革,220500,塑料,220000,化工
40,220503,改性塑料,220500,塑料,220000,化工
41,220601,轮胎,220600,橡胶,220000,化工
42,220602,其他橡胶制品,220600,橡胶,220000,化工
43,220603,炭黑,220600,橡胶,220000,化工
44,230101,普钢,230100,钢铁,230000,钢铁
45,230102,特钢,230100,钢铁,230000,钢铁
46,240201,金属新材料,240200,金属非金属新材料,240000,有色金属
47,240202,磁性材料,240200,金属非金属新材料,240000,有色金属
48,240203,非金属新材料,240200,金属非金属新材料,240000,有色金属
49,240301,铝,240300,工业金属,240000,有色金属
50,240302,铜,240300,工业金属,240000,有色金属
51,240303,铅锌,240300,工业金属,240000,有色金属
52,240401,黄金,240400,黄金,240000,有色金属
53,240501,稀土,240500,稀有金属,240000,有色金属
54,240502,钨,240500,稀有金属,240000,有色金属
55,240503,锂,240500,稀有金属,240000,有色金属
56,240504,其他稀有小金属,240500,稀有金属,240000,有色金属
57,270101,集成电路,270100,半导体,270000,电子
58,270102,分立器件,270100,半导体,270000,电子
59,270103,半导体材料,270100,半导体,270000,电子
60,270202,印制电路板,270200,元件,270000,电子
61,270203,被动元件,270200,元件,270000,电子
62,270301,显示器件,270300,光学光电子,270000,电子
63,270302,LED,270300,光学光电子,270000,电子
64,270303,光学元件,270300,光学光电子,270000,电子
65,270401,其他电子,270400,其他电子,270000,电子
66,270501,电子系统组装,270500,电子制造,270000,电子
67,270502,电子零部件制造,270500,电子制造,270000,电子
68,280101,乘用车,280100,汽车整车,280000,汽车
69,280102,商用载货车,280100,汽车整车,280000,汽车
70,280103,商用载客车,280100,汽车整车,280000,汽车
71,280201,汽车零部件,280200,汽车零部件,280000,汽车
72,280301,汽车服务,280300,汽车服务,280000,汽车
73,280401,其他交运设备,280400,其他交运设备,280000,汽车
74,330101,冰箱,330100,白色家电,330000,家用电器
75,330102,空调,330100,白色家电,330000,家用电器
76,330103,洗衣机,330100,白色家电,330000,家用电器
77,330104,小家电,330100,白色家电,330000,家用电器
78,330105,家电零部件,330100,白色家电,330000,家用电器
79,330201,彩电,330200,视听器材,330000,家用电器
80,330202,其它视听器材,330200,视听器材,330000,家用电器
81,340301,白酒,340300,饮料制造,340000,食品饮料
82,340302,啤酒,340300,饮料制造,340000,食品饮料
83,340303,其他酒类,340300,饮料制造,340000,食品饮料
84,340304,软饮料,340300,饮料制造,340000,食品饮料
85,340305,葡萄酒,340300,饮料制造,340000,食品饮料
86,340306,黄酒,340300,饮料制造,340000,食品饮料
87,340401,肉制品,340400,食品加工,340000,食品饮料
88,340402,调味发酵品,340400,食品加工,340000,食品饮料
89,340403,乳品,340400,食品加工,340000,食品饮料
90,340404,食品综合,340400,食品加工,340000,食品饮料
91,350101,毛纺,350100,纺织制造,350000,纺织服装
92,350102,棉纺,350100,纺织制造,350000,纺织服装
93,350103,丝绸,350100,纺织制造,350000,纺织服装
94,350104,印染,350100,纺织制造,350000,纺织服装
95,350105,辅料,350100,纺织制造,350000,纺织服装
96,350106,其他纺织,350100,纺织制造,350000,纺织服装
97,350202,男装,350200,服装家纺,350000,纺织服装
98,350203,女装,350200,服装家纺,350000,纺织服装
99,350204,休闲服装,350200,服装家纺,350000,纺织服装
100,350205,鞋帽,350200,服装家纺,350000,纺织服装
101,350206,家纺,350200,服装家纺,350000,纺织服装
102,350207,其他服装,350200,服装家纺,350000,纺织服装
103,360101,造纸,360100,造纸,360000,轻工制造
104,360201,包装印刷,360200,包装印刷,360000,轻工制造
105,360302,家具,360300,家用轻工,360000,轻工制造
106,360303,其他家用轻工,360300,家用轻工,360000,轻工制造
107,360304,珠宝首饰,360300,家用轻工,360000,轻工制造
108,360305,文娱用品,360300,家用轻工,360000,轻工制造
109,360401,其他轻工制造,360400,其他轻工制造,360000,轻工制造
110,370101,化学原料药,370100,化学制药,370000,医药生物
