一级行业代码,一级行业名称,二级行业代码,二级行业名称,三级行业代码,三级行业名称,指数代码
,,,,350105,辅料,851315
,,,,350106,其他纺织,851316
,,350200,服装家纺,,,801132
,,,,350202,男装,851322
,,,,350203,女装,851323
,,,,350204,休闲服装,851324
,,,,350205,鞋帽,851325
,,,,350206,家纺,851326
,,,,350207,其他服装,851327
360000,轻工制造,,,,,801140
,,360100,造纸,,,801143
,,,,360101,造纸,851411
,,360200,包装印刷,,,801141
,,,,360201,包装印刷,851421
,,360300,家用轻工,,,801142
,,,,360302,家具,851432
,,,,360303,其他家用轻工,851433
,,,,360304,珠宝首饰,851434
,,,,360305,文娱用品,851435
,,360400,其他轻工制造,,,801144
,,,,360401,其他轻工制造,851441
370000,医药生物,,,,,801150
,,370100,化学制药,,,801151
,,,,370101,化学原料药,851511
,,,,370102,化学制剂,851512
,,370200,中药,,,801155
,,,,370201,中药,851521
,,370300,生物制品,,,801152
,,,,370301,生物制品,851531
,,370400,医药商业,,,801154
,,,,370401,医药商业,851541
,,370500,医疗器械,,,801153
,,,,370501,医疗器械,851551
,,370600,医疗服务,,,801156
,,,,370601,医疗服务,851561
410000,公用事业,,,,,801160
,,410100,电力,,,801161
,,,,410101,火电,851611
,,,,410102,水电,851612
,,,,410103,燃机发电,851613
,,,,410104,热电,851614
,,410200,水务,,,801164
,,,,410201,水务,851621
,,410300,燃气,,,801163
,,,,410301,燃气,851631
,,410400,环保工程及服务,,,801162
,,,,410401,环保工程及服务,851641
420000,交通运输,,,,,801170
,,420100,港口,,,801171
,,,,420101,港口,851711
,,420200,高速公路,,,801175
,,,,420201,高速公路,851731
,,420300,公交,,,801172
,,,,420301,公交,851721
,,420400,航空运输,,,801173
,,,,420401,航空运输,851741
,,420500,机场,,,801174
,,,,420501,机场,851751
,,420600,航运,,,801176
,,,,420601,航运,851761
,,420700,铁路运输,,,801177
,,,,420701,铁路运输,851771
,,420800,物流,,,801178
,,,,420801,物流,851781
430000,房地产,,,,,801180
,,430100,房地产开发,,,801181
,,,,430101,房地产开发,851811
,,430200,园区开发,,,801182
,,,,430201,园区开发,851821
440000,金融服务,,,,,801190
,,440100,银行,,,801192
,,,,440101,银行,851911
,,440200,多元金融,,,801191
,,,,440201,多元金融,851921
,,440300,证券,,,801193
,,,,440301,证券,851931
,,440400,保险,,,801194
,,,,440401,保险,851941
450000,商业贸易,,,,,801200
,,450100,零售,,,801201
,,,,450101,百货零售,852011
,,,,450102,专业连锁,852012
,,,,450103,商业物业经营,852013
,,450200,贸易,,,801202
,,,,450201,贸易,852021
460000,餐饮旅游,,,,,801210
,,460100,景点,,,801212
,,,,460101,人工景点,852111
,,,,460102,自然景点,852112
,,460200,酒店,,,801213
,,,,460201,酒店,852121
,,460300,旅游综合,,,801214
,,,,460301,旅游综合,852131
,,460400,餐饮,,,801211
,,,,460401,餐饮,852141
470000,信息服务,,,,,801220
,,470100,通信运营,,,801223
,,,,470101,通信运营,852211
,,470200,网络服务,,,801224
,,,,470201,互联网信息服务,852221
,,,,470202,移动通讯增值服务,852222
,,,,470203,其他网络服务,852223
,,,,470204,有线电视网络,852224
,,470300,计算机应用,,,801222
,,,,470302,软件开发及服务,852232
,,,,470303,系统集成,852233
,,470400,传媒,,,801221
,,,,470401,平面媒体,852241
,,,,470402,影视动漫,852242
,,,,470403,营销服务,852243
,,,,470404,其他传媒,852244
510000,综合,,,,,801230
,,510100,综合,,,801231
,,,,510101,综合,852311
